post_id,fact_check_id
2228,33
2228,23568
2228,194577
2229,33
2229,23568
2229,194577
6088,33
6088,23568
6088,194577
294,433
294,1501
294,47014
294,47042
381,433
381,1501
381,47014
381,47042
1008,1941
1008,131402
28004,1941
28004,131402
1118,2170
20767,2413
20767,43572
20767,111590
14844,2413
14844,43572
14844,111590
5833,2413
5833,43572
5833,111590
2367,2629
2367,98543
19502,3057
19502,75532
19502,75533
19502,197220
21201,3130
21201,10927
21201,102574
6573,3130
6573,10927
6573,102574
15394,3327
15394,62626
11618,3493
11618,88107
11618,136005
18913,4355
231,4437
231,41013
19334,4437
19334,41013
21617,4437
21617,41013
10912,5166
10912,85512
10912,119733
19181,5166
19181,85512
19181,119733
10233,5166
10233,85512
10233,119733
27727,5346
27727,102435
27727,102440
2049,5498
6408,7111
5701,7679
5701,110500
137,7789
1872,7789
5853,7789
4841,7793
4841,139882
666,7803
11228,7803
23982,7852
23982,72314
12748,7869
16244,7869
19728,7869
3814,8031
3814,67682
3814,139144
1806,8031
1806,67682
1806,139144
19638,8047
19638,154618
19169,8679
19169,117958
21377,8679
21377,117958
25375,8729
15889,9008
15889,126438
11849,9026
18489,9058
12714,39552
12404,9410
11336,9449
11336,154733
19305,9584
19305,41564
2940,10057
26117,10120
4631,10179
4631,142849
19229,10382
5159,10512
3364,10537
6875,10640
7125,10826
7125,33784
7125,33812
5400,10827
16656,10834
169,10859
1503,10859
2274,10859
1853,11021
1853,116674
21598,11021
21598,116674
10887,11144
331,11149
576,11550
1265,11780
1265,40417
15118,11808
15118,194416
17631,11808
17631,194416
21589,11808
21589,194416
18564,11847
19605,11847
7124,11875
7917,11896
7917,33833
5841,12091
5841,103525
16642,12117
4180,12120
4180,14094
14761,12120
14761,14094
12036,12222
7172,12223
5766,12231
5766,103552
11014,12231
11014,103552
13941,12532
13941,86998
13941,86999
26966,12532
26966,86998
26966,86999
11314,12532
11314,86998
11314,86999
5692,12627
18362,12627
4868,12687
4869,12687
4870,12687
19192,12742
13130,12778
20625,12778
6035,12973
6035,95537
6035,95539
6035,142835
19640,12973
19640,95537
19640,95539
19640,142835
830,13039
830,71950
15873,13039
15873,71950
24612,13039
24612,71950
1763,13279
1763,24667
1763,120019
1763,139090
5605,13377
26775,13509
2055,13714
18901,13824
19946,13914
21217,14208
2295,14330
2295,56981
15964,14330
15964,56981
14842,14331
19187,14331
1950,14339
11930,14339
10479,14340
12588,14340
1952,14342
12175,14342
18701,14342
822,14343
1923,14344
21177,14344
21187,14381
9117,14495
3407,14765
18359,14765
12355,14772
15124,14772
8625,14874
14857,14874
2260,14893
2260,43276
2260,95015
2259,14893
2259,43276
2259,95015
5711,14990
11593,15041
11593,23881
11593,25760
11593,35657
12272,15041
12272,23881
12272,25760
12272,35657
12080,15041
12080,23881
12080,25760
12080,35657
19692,15041
19692,23881
19692,25760
19692,35657
19533,15061
14421,15211
27171,15245
